"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000125967",373.306974225816,349.283634147547,425.878913260293,556.2561427295,317.807521987305,356.884671477016,683.565636758143,537.623422624792
"ENSG00000125968",1365.31536014648,1557.42223171269,397.340635567593,273.087137053175,6723.14245918383,5752.9809042095,5134.20478263758,4653.80275209586
"ENSG00000125970",4323.22415004161,4135.90100489233,4293.3643536537,4509.6636693468,4691.44437219355,4896.45769266467,4758.09443228157,4769.16777820076
"ENSG00000125971",19.2143295557405,25.3589487805753,21.952521302077,13.1502634215012,65.5793299338884,92.7900145840243,68.6550639538746,66.082879030964
"ENSG00000125975",0.548980844449729,0,0,0,1.26114096026708,0,0,1.12004879713498
"ENSG00000125977",5697.87218454373,5441.6476317261,6997.36616503703,6893.36808555092,7192.28689640318,6623.77950261342,7149.08165954477,6856.93873606037
"ENSG00000125991",2536.8404822022,2583.26348049672,2849.98607804214,3316.4964349026,6136.71191265963,6755.82683105992,6181.94075862932,6123.30677393696
"ENSG00000125995",547.882882760829,559.810756099494,558.691667137858,918.326728934832,976.123103246723,1009.98362027996,1211.91112892492,1123.40894352639
"ENSG00000125998",0,0,0.548813032551924,0.876684228100079,30.26738304641,24.9819270033911,35.8200333672389,26.8811711312396
"ENSG00000125999",29.6449656002853,32.5360097562099,20.3060822044212,16.6570003339015,2.52228192053417,3.56884671477016,0,0
"ENSG00000126001",2881.60045251663,2531.58864147215,1495.51551370399,1652.54976996865,829.830751855741,642.39240865863,620.880578365475,639.547863164076
"ENSG00000126003",920.640876142195,892.826385368936,742.544033042753,814.001305790923,4077.26872454348,4079.1917949823,2856.6476610373,2776.60096809762
"ENSG00000126005",1097.96168889946,1044.02313658897,819.926670632574,1067.36304771185,413.654234967604,474.656613064432,534.315497727981,463.700202013883
"ENSG00000126010",6.03878928894702,3.34929512196278,1.64643909765577,3.06839479835028,264.839601656088,246.250423319141,599.985558901252,589.145667293001
"ENSG00000126012",2537.9384438911,2564.60312196007,1950.48151768954,1946.67732849622,2861.52883884601,2698.04811636624,2310.39215218691,2144.89344651349
"ENSG00000126016",562.156384716522,511.485212196888,490.090038068868,438.780456164089,206.827117483802,253.388116748682,295.515275279721,280.012199283746
"ENSG00000126062",345.857932003329,386.604351220847,375.936927298068,445.79392998889,245.922487252081,339.040437903166,346.260322549976,415.538103737079
"ENSG00000126067",2324.38489540015,2371.30094634965,2861.51115172573,2934.70045356501,6053.476609282,5374.68315244387,5820.75542217632,6094.18550521145
"ENSG00000126070",677.442362050965,674.165260977937,666.259021518036,582.118327458452,795.77994592853,624.548175084779,794.010739640463,630.587472786996
"ENSG00000126088",554.470652894226,584.69123414836,669.003086680795,821.014779615724,145.031210430715,167.735795594198,220.89020576464,209.449125064242
