"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000124766",6889.20827884516,1.86528636760237,0.106250928265131,17.5554830255022,5.40056090569779e-69,2.12458066030151e-66
"ENSG00000163516",3611.50768539381,1.85408189296309,0.106274440507045,17.4461694092869,3.68106608338016e-68,1.40790552505726e-65
"ENSG00000172175",9545.5448106779,2.35811064992979,0.137391090460192,17.1634903109895,4.98271150433333e-66,1.85424201900448e-63
"ENSG00000129521",1118.16694322663,2.56014043030449,0.149192757012973,17.15995120381,5.29581155039758e-66,1.91889550624801e-63
"ENSG00000168461",285.675094072012,4.00183361731867,0.233858456851333,17.1122039852623,1.2035781108378e-65,4.24924795080146e-63
"ENSG00000154734",16569.1937144283,1.89201324003279,0.110771099429802,17.0803869400231,2.07736655642906e-65,7.15081502886793e-63
"ENSG00000067057",3806.26208269317,1.97179038982684,0.115478956246964,17.074889260429,2.28258402935549e-65,7.66558524395019e-63
"ENSG00000100906",4243.75425134699,1.91543374954839,0.112535105389234,17.020766479254,5.76115103641428e-65,1.88869734810448e-62
"ENSG00000154478",215.631727879502,6.25622443026408,0.371840779847155,16.825008899873,1.60037658851256e-63,5.12455470865801e-61
"ENSG00000198727",130841.877386781,-1.58166581105645,0.096120377756442,-16.4550519668599,7.71556308260219e-61,2.41444518373522e-58
"ENSG00000196091",581.158024700183,2.79199458386906,0.170424728825807,16.3825672665309,2.54759416992805e-60,7.79507202794206e-58
"ENSG00000163171",1729.59557461731,1.98673720522852,0.121388650321865,16.3667459845763,3.3041413616018e-60,9.89015704519461e-58
"ENSG00000124157",231.392760125795,4.4818647733461,0.274537828753644,16.3251264632383,6.54050343314512e-60,1.91608918661649e-57
"ENSG00000095739",1414.75061942367,2.08040414389069,0.12816267882114,16.2325269963656,2.96977423112656e-59,8.5189211225795e-57
"ENSG00000144481",1052.94882214326,2.68159202857204,0.167259980811915,16.0324783941444,7.5798426416706e-58,2.12993578230944e-55
"ENSG00000152256",2392.66096062169,2.01237397291693,0.125534261873959,16.0304760061236,7.82808280550658e-58,2.1556974429804e-55
"ENSG00000069667",316.719999860755,3.20856114421635,0.201659462413711,15.9107889399897,5.33371111920497e-57,1.43999741961438e-54
"ENSG00000075886",789.984291636157,2.25782996583009,0.143329971252307,15.7526715878258,6.58400183912618e-56,1.74336771774862e-53
"ENSG00000100867",681.01061408672,-2.38695718438195,0.153440224565367,-15.5562675376892,1.44270492461657e-54,3.74803851076331e-52
"ENSG00000135919",491.419287874182,3.04247648196451,0.195715837269748,15.5453770344153,1.71013222780023e-54,4.3605204897373e-52
"ENSG00000197930",3766.20337175215,2.17498296469341,0.141106485322798,15.4137703856621,1.32264417944311e-53,3.31117958304585e-51
"ENSG00000115548",2288.01665390051,1.90056422338933,0.124509857844975,15.2643674668369,1.32102570997336e-52,3.248071964397e-50
"ENSG00000206527",4975.34202748116,1.6986367339257,0.111880743017891,15.1825657222715,4.61375759752193e-52,1.11450576070666e-49
"ENSG00000198888",113254.134040654,-1.66453260526161,0.109790869127896,-15.1609384139458,6.41462253555295e-52,1.52280927055222e-49
"ENSG00000164096",10040.268913635,1.65327654365642,0.109339382950589,15.1205951510037,1.18467063376117e-51,2.76469999258603e-49
